Incident_Month,Incident.year,Victim.injury,State,Location,Latitude,Longitude,Site.category,Shark.common.name,Shark.length.m,Provoked/unprovoked,Victim.activity,Direction.first.strike,Injury.location,Victim.gender,Victim.age,
Nov,1916,fatal,QLD,"townsville, strand beach",-19.23333333,146.8166667,coastal,tiger shark,,unprovoked,swimming,,leg,male,,
Nov,1916,injured,WA,condon creek - port headland (area),-20,119.3666667,coastal,tiger shark,3.7,provoked,snorkelling,,leg,male,,
Nov,1916,fatal,WA,condon creek - broome (area),-20,119.3333333,coastal,tiger shark,3.7,provoked,snorkelling,,leg,male,,
Dec,1916,fatal,NSW,"sugarloaf point, sydney harbour,",-33.78333333,151.2166667,estuary/harbour,bull shark,,unprovoked,other: standing in water,in front,"arm, torso",male,41,
Dec,1916,fatal,QLD,yeppoon (mens beach),-23.11666667,150.75,coastal,tiger shark,3,unprovoked,swimming,,calf,male,26,
Jun,1917,injured,QLD,moreton bay,-27.23333333,153.2166667,coastal,whaler shark,,provoked,fishing,,leg,male,,
Dec,1917,injured,WA,port headland,-20.3,118.5833333,coastal,tiger shark,,unprovoked,swimming,,thigh,male,,
Jan,1918,injured,NSW,"port stephens, tea gardens",-32.66666667,152.15,coastal,wobbegong,,provoked,fishing,,"arm, hand",male,,
Mar,1918,injured,NSW,newcastle beach,-32.91666667,151.7833333,coastal,white shark,,unprovoked,swimming,in front,"arm, hand",male,,
Mar,1918,injured,QLD,"kirra beach, coolangatta",-28.15,153.5166667,coastal,wobbegong,,provoked,swimming,,foot,male,,
Mar,1918,injured,NSW,tweed heads,-28.15,153.1,Coastal,tiger shark,,unprovoked,swimming,,leg,male,,
Apr,1918,uninjured,NSW,burmagui,-26.41666667,150.0666667,coastal,wobbegong,,provoked,diving,,other: uninjured,male,,
Apr,1918,uninjured,NSW,"parramatta river, sydney harbour",-33.86666667,151.2,river,bull shark,,unprovoked,swimming,,other: uninjured,male,28,
